Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Machine failure,Temp_diff,Power,Torque_per_wear,Type_L,Type_M
299.0,309.1,1523,38.6,177,0,10.100000000000023,6156.244020023535,0.21685393258426966,1,0
299.0,309.1,1394,45.1,179,0,10.100000000000023,6583.668172519938,0.2505555555555556,1,0
298.9,308.9,1679,28.7,181,0,10.0,5046.162255877581,0.1576923076923077,0,1
298.8,308.9,1466,44.1,184,0,10.099999999999966,6770.195000339076,0.23837837837837839,0,0
298.8,308.9,1527,32.4,189,0,10.099999999999966,5180.988940594142,0.17052631578947366,1,0
298.9,309.0,1410,65.7,191,1,10.100000000000023,9700.923955019924,0.34218750000000003,1,0
298.9,309.0,1924,22.6,193,0,10.100000000000023,4553.4662800150945,0.11649484536082474,0,1
298.9,309.1,1452,45.5,196,0,10.200000000000045,6918.415341735443,0.23096446700507614,1,0
298.9,309.1,1369,44.4,198,0,10.200000000000045,6365.243707291352,0.22311557788944722,1,0
299.0,309.1,1592,35.0,200,0,10.100000000000023,5834.984755267443,0.17412935323383086,1,0
298.9,309.0,1601,32.3,202,0,10.100000000000023,5415.299392674381,0.15911330049261083,1,0
298.8,308.9,1379,46.7,204,0,10.099999999999966,6743.878925877506,0.2278048780487805,1,0
298.8,308.9,1461,47.9,206,0,10.099999999999966,7328.487430808518,0.23140096618357486,1,0
298.8,308.9,1455,41.3,208,1,10.099999999999966,6292.767164773035,0.19760765550239234,1,0
298.8,308.9,1398,51.5,0,0,10.099999999999966,7539.508209350145,51.5,1,0
298.8,308.9,1402,37.9,2,0,10.099999999999966,5564.367964087218,12.633333333333333,1,0
298.8,308.8,1445,49.9,4,0,10.0,7550.870302780627,9.98,0,0
298.9,308.9,1450,47.5,9,0,10.0,7212.573133866567,4.75,1,0
298.9,308.9,1453,40.8,11,0,10.0,6208.038410905718,3.4,1,0
299.0,309.0,1469,40.1,13,0,10.0,6168.716142858287,2.8642857142857143,1,0
298.9,308.9,1422,47.6,15,0,10.0,7088.187008735435,2.975,1,0
299.0,309.0,1804,26.8,17,0,10.0,5062.906944721215,1.488888888888889,0,1
299.0,309.0,1436,43.9,20,0,10.0,6601.575250645399,2.0904761904761906,0,0
299.0,309.0,1544,31.8,25,0,10.0,5141.656200571199,1.2230769230769232,1,0
299.0,309.0,1419,45.2,27,0,10.0,6716.599429668835,1.6142857142857143,0,1
298.9,308.9,1487,39.5,30,0,10.0,6150.871896585897,1.2741935483870968,0,1
298.9,308.9,1753,25.8,33,0,10.0,4736.2022526989,0.7588235294117647,1,0
298.9,308.9,1830,24.9,35,0,10.0,4771.765081537536,0.6916666666666667,1,0
298.9,308.9,1727,27.1,37,0,10.0,4901.062563183781,0.7131578947368421,0,1
299.1,309.0,1450,43.0,40,0,9.899999999999977,6529.276731710787,1.048780487804878,1,0
299.0,308.9,1622,31.9,42,0,9.899999999999977,5418.388625450411,0.741860465116279,1,0
299.0,309.0,1351,52.2,44,0,10.0,7385.06751449967,1.1600000000000001,0,1
299.0,309.0,1575,35.3,47,0,10.0,5822.156585265284,0.7354166666666666,0,1
298.9,308.9,1750,29.9,50,0,10.0,5479.4611866361965,0.5862745098039216,0,1
298.9,308.8,1529,32.7,53,0,9.900000000000034,5235.809732399286,0.6055555555555556,1,0
298.8,308.8,1523,44.4,55,0,10.0,7081.275504897538,0.7928571428571428,1,0
298.8,308.9,1852,25.0,57,0,10.099999999999966,4848.524662040247,0.43103448275862066,1,0
298.8,308.8,1991,20.7,59,0,10.0,4315.888571575122,0.345,1,0
298.8,308.8,1555,40.6,61,0,10.0,6611.272299969481,0.6548387096774194,1,0
298.8,308.8,1441,40.5,63,0,10.0,6111.497268660904,0.6328125,0,1
298.8,308.7,1450,43.4,66,0,9.899999999999977,6590.01418968019,0.6477611940298508,1,0
298.8,308.7,1591,31.1,68,0,9.899999999999977,5181.543955296277,0.45072463768115945,1,0
298.8,308.7,1445,48.5,70,0,9.899999999999977,7339.022238173556,0.6830985915492958,1,0
298.8,308.8,1497,46.8,72,0,10.0,7336.624155781315,0.6410958904109588,0,1
298.9,308.8,1621,32.7,75,0,9.900000000000034,5550.848643701271,0.4302631578947369,0,0
298.9,308.7,1572,34.1,80,0,9.800000000000011,5613.523417140386,0.42098765432098767,1,0
298.8,308.6,1872,22.5,82,0,9.800000000000011,4410.79608564007,0.2710843373493976,1,0
298.7,308.6,1499,43.5,84,0,9.900000000000034,6828.408712210095,0.5117647058823529,0,0
298.8,308.7,1498,39.5,89,0,9.899999999999977,6196.3726301853885,0.4388888888888889,0,1
298.8,308.6,1486,41.9,92,0,9.800000000000011,6520.208000917424,0.4505376344086021,0,1
298.8,308.6,1680,29.4,95,0,9.800000000000011,5172.318144870235,0.30624999999999997,1,0
298.8,308.6,1431,45.7,97,0,9.800000000000011,6848.326409633855,0.46632653061224494,1,0
298.9,308.7,1564,34.1,99,0,9.800000000000011,5584.955867943743,0.341,1,0
298.8,308.6,1599,33.0,101,0,9.800000000000011,5525.747318399087,0.3235294117647059,1,0
298.8,308.6,1707,28.1,103,0,9.800000000000011,5023.0610778981845,0.27019230769230773,0,1
298.7,308.5,1467,40.7,106,0,9.800000000000011,6252.491946954015,0.38037383177570094,1,0
298.9,308.7,1433,44.7,108,0,9.800000000000011,6707.834386165318,0.4100917431192661,1,0
298.9,308.7,1558,41.2,110,0,9.800000000000011,6721.919193228914,0.3711711711711712,1,0
299.0,308.8,1310,50.7,112,0,9.800000000000011,6955.171975782444,0.44867256637168146,1,0
298.9,308.7,1546,43.4,114,0,9.800000000000011,7026.318577410739,0.3773913043478261,1,0
298.9,308.7,1727,29.4,116,0,9.800000000000011,5317.019902494581,0.2512820512820513,1,0
298.9,308.6,1560,32.2,118,0,9.700000000000045,5260.28273917075,0.2705882352941177,1,0
299.0,308.6,1329,60.5,120,0,9.600000000000023,8419.939550518684,0.5,1,0
298.9,308.6,1413,46.5,122,0,9.700000000000045,6880.559150259685,0.3780487804878049,1,0
299.0,308.6,1587,38.6,124,0,9.600000000000023,6414.9437030711415,0.3088,1,0
298.9,308.5,1559,34.3,126,0,9.600000000000023,5599.75276934215,0.2700787401574803,1,0
298.8,308.4,1473,41.1,128,0,9.599999999999966,6339.765390870739,0.3186046511627907,1,0
298.8,308.4,1737,27.7,130,0,9.599999999999966,5038.580545606917,0.21145038167938932,1,0
298.7,308.4,1441,43.2,132,0,9.699999999999989,6518.930419904966,0.324812030075188,0,1
298.7,308.4,1430,49.6,135,0,9.699999999999989,7427.5627911272295,0.3647058823529412,0,1
298.8,308.4,1369,53.0,138,0,9.599999999999966,7598.151272217154,0.381294964028777,1,0
298.8,308.5,1711,28.5,140,0,9.699999999999989,5106.501778777529,0.20212765957446807,0,1
298.7,308.5,1420,45.7,143,0,9.800000000000011,6795.683788735201,0.31736111111111115,0,0
298.7,308.6,1297,55.3,148,0,9.900000000000034,7510.93018817799,0.3711409395973154,1,0
298.8,308.6,1449,49.4,150,0,9.800000000000011,7495.902903318319,0.3271523178807947,0,0
298.8,308.6,1268,55.8,155,0,9.800000000000011,7409.383441638455,0.3576923076923077,1,0
298.8,308.6,1511,36.1,157,0,9.800000000000011,5712.158954487593,0.22848101265822784,1,0
298.7,308.5,1544,35.2,159,0,9.800000000000011,5691.393027047366,0.22000000000000003,1,0
298.6,308.4,1778,28.2,161,0,9.799999999999955,5250.606633797693,0.17407407407407408,0,1
298.6,308.4,1407,50.5,164,0,9.799999999999955,7440.705120394745,0.30606060606060603,0,0
298.6,308.4,1391,42.4,169,0,9.799999999999955,6176.203605349342,0.24941176470588233,0,1
298.5,308.4,1513,33.6,172,0,9.899999999999977,5323.61724706712,0.19421965317919077,1,0
298.5,308.4,1612,36.1,174,0,9.899999999999977,6093.977653629385,0.2062857142857143,0,0
298.4,308.4,1515,40.1,179,0,10.0,6361.882203152011,0.2227777777777778,1,0
298.3,308.3,1379,48.0,181,0,10.0,6931.61003088052,0.26373626373626374,0,1
298.4,308.3,1473,39.9,184,0,9.900000000000034,6154.662751721228,0.21567567567567567,1,0
298.4,308.3,1422,42.7,186,0,9.900000000000034,6358.52069901267,0.22834224598930483,1,0
298.4,308.2,1463,37.6,188,0,9.800000000000011,5760.508065426342,0.19894179894179895,0,1
298.4,308.2,1584,41.0,191,0,9.800000000000011,6800.919776491184,0.21354166666666666,0,1
298.4,308.2,1850,27.0,194,0,9.800000000000011,5230.751768227006,0.13846153846153847,1,0
298.4,308.2,1528,36.2,196,0,9.800000000000011,5792.426646786813,0.18375634517766498,1,0
298.4,308.2,1987,19.8,198,0,9.800000000000011,4119.9474377707265,0.09949748743718594,0,0
298.4,308.1,1495,46.0,203,0,9.700000000000045,7201.577559579002,0.22549019607843138,0,1
298.4,308.2,1478,43.5,206,0,9.800000000000011,6732.747215908285,0.21014492753623187,0,0
298.4,308.2,1499,40.0,211,0,9.800000000000011,6278.996516974799,0.18867924528301888,0,1
298.4,308.2,1471,47.0,214,0,9.800000000000011,7240.009709707918,0.2186046511627907,1,0
298.4,308.2,1282,60.7,216,1,9.800000000000011,8149.019072048613,0.2797235023041475,1,0
298.3,308.1,1412,52.3,218,1,9.800000000000011,7733.302588174587,0.23881278538812784,1,0
298.3,308.1,1586,35.5,0,0,9.800000000000011,5896.036372502204,35.5,1,0
298.4,308.2,1468,43.8,2,0,9.800000000000011,6733.312702585932,14.6,0,1
298.5,308.3,1440,43.6,5,0,9.800000000000011,6574.725105432719,7.266666666666667,0,1
298.5,308.4,1733,26.0,8,0,9.899999999999977,4718.4627261816295,2.888888888888889,1,0
298.4,308.2,1612,32.6,10,0,9.800000000000011,5503.148795244264,2.963636363636364,0,0
298.4,308.3,1458,42.9,15,0,9.900000000000034,6550.032187175502,2.68125,0,0
298.4,308.3,1433,62.3,20,1,9.900000000000034,9348.950386087232,2.9666666666666663,1,0
298.4,308.3,1318,59.1,22,0,9.900000000000034,8157.019661339754,2.5695652173913044,1,0
298.4,308.2,1610,35.0,24,0,9.800000000000011,5900.958200992827,1.4,0,1
298.2,308.1,1462,50.8,27,0,9.900000000000034,7777.494324835084,1.8142857142857143,1,0
298.1,308.0,1924,20.8,29,0,9.899999999999977,4190.800824084688,0.6933333333333334,0,1
298.2,308.0,1591,33.7,32,0,9.800000000000011,5614.727694324262,1.0212121212121212,0,1
298.2,308.1,1306,58.3,35,0,9.900000000000034,7973.341210859871,1.6194444444444445,1,0
298.2,308.1,1382,43.5,37,0,9.900000000000034,6295.437518528586,1.144736842105263,1,0
298.2,308.1,1618,34.7,39,0,9.900000000000034,5879.4487632912505,0.8675,1,0
298.2,308.2,1988,21.4,41,0,10.0,4455.1134860067095,0.5095238095238095,1,0
298.2,308.2,1436,50.2,43,0,10.0,7548.953931261938,1.1409090909090909,1,0
298.2,308.3,1304,49.8,45,0,10.100000000000023,6800.41712166661,1.0826086956521739,1,0
298.2,308.3,1475,49.9,47,0,10.100000000000023,7707.635776194758,1.0395833333333333,1,0
298.2,308.3,1824,24.2,49,0,10.100000000000023,4622.413766785878,0.484,0,0
298.1,308.2,1342,48.1,54,0,10.099999999999966,6759.681136925063,0.8745454545454546,0,1
298.1,308.2,1485,40.7,57,0,10.099999999999966,6329.209639554678,0.7017241379310345,1,0
298.2,308.2,1667,30.6,59,0,10.0,5341.775652604869,0.51,1,0
298.2,308.2,1446,38.2,61,0,10.0,5784.426057495672,0.6161290322580646,1,0
298.1,308.3,1301,56.0,63,0,10.199999999999989,7629.462478997933,0.875,1,0
298.2,308.4,1379,43.1,65,0,10.199999999999989,6224.008173561467,0.6530303030303031,1,0
298.3,308.5,1606,33.6,67,0,10.199999999999989,5650.845537865033,0.49411764705882355,1,0
298.3,308.4,1539,43.4,69,0,10.099999999999966,6994.504715805388,0.62,0,1
298.2,308.4,1477,49.9,72,0,10.199999999999989,7718.086807755699,0.6835616438356165,1,0
298.2,308.4,1666,34.6,74,0,10.199999999999989,6036.423676215621,0.4613333333333334,1,0
298.2,308.4,1398,51.8,76,0,10.199999999999989,7583.42767464733,0.6727272727272727,0,0
298.2,308.4,1678,34.6,81,0,10.199999999999989,6079.903318541303,0.42195121951219516,0,0
298.2,308.5,2678,10.7,86,1,10.300000000000011,3000.702695051803,0.12298850574712643,0,1
298.3,308.5,1453,42.9,89,0,10.199999999999989,6527.569799702335,0.4766666666666666,1,0
298.3,308.6,1432,49.5,91,0,10.300000000000011,7422.955121901963,0.5380434782608695,0,0
298.4,308.6,1527,40.9,96,0,10.200000000000045,6540.199002169767,0.4216494845360825,0,1
298.4,308.7,1588,35.0,99,0,10.300000000000011,5820.32398955069,0.35,1,0
298.4,308.6,1433,47.1,101,0,10.200000000000045,7067.986567972852,0.46176470588235297,1,0
298.4,308.6,1609,35.0,103,0,10.200000000000045,5897.293009563639,0.33653846153846156,1,0
298.3,308.5,1575,41.2,105,0,10.199999999999989,6795.264909714723,0.3886792452830189,1,0
298.4,308.5,1636,35.7,107,0,10.100000000000023,6116.178241714753,0.3305555555555556,0,1
298.4,308.5,1490,37.9,110,0,10.100000000000023,5913.6292913623065,0.34144144144144145,1,0
298.4,308.5,1741,32.8,112,0,10.100000000000023,5980.000672157147,0.2902654867256637,1,0
298.5,308.6,1344,53.0,114,0,10.100000000000023,7459.397596683605,0.4608695652173913,0,1
298.5,308.7,1609,35.3,117,0,10.199999999999989,5947.841235359898,0.29915254237288136,1,0
298.4,308.7,1421,60.7,119,1,10.300000000000011,9032.571061919718,0.5058333333333334,0,1
298.4,308.6,1591,36.7,122,0,10.200000000000045,6114.555085510398,0.2983739837398374,1,0
298.4,308.6,1477,44.0,124,0,10.200000000000045,6805.527445716449,0.352,1,0
298.4,308.7,1523,36.1,126,0,10.300000000000011,5757.523552405431,0.284251968503937,1,0
298.5,308.7,1575,33.9,128,0,10.199999999999989,5591.249525226434,0.2627906976744186,1,0
298.4,308.7,1344,52.9,130,0,10.300000000000011,7445.323261595522,0.40381679389312974,0,0
298.4,308.7,1386,44.9,135,0,10.300000000000011,6516.856968753595,0.3301470588235294,1,0
298.3,308.6,1589,37.1,137,0,10.300000000000011,6173.428531838672,0.2688405797101449,0,1
298.3,308.6,1548,40.3,140,0,10.300000000000011,6532.879091286903,0.2858156028368794,1,0
298.3,308.6,1499,38.3,142,0,10.300000000000011,6012.13916500337,0.2678321678321678,1,0
298.3,308.5,1664,31.6,144,0,10.199999999999989,5506.416051603998,0.21793103448275863,1,0
298.3,308.6,1447,38.1,146,0,10.300000000000011,5773.2734035754265,0.25918367346938775,1,0
298.3,308.5,1434,46.2,148,0,10.199999999999989,6937.767552481556,0.31006711409395976,0,1
298.3,308.5,1416,52.7,151,0,10.199999999999989,7814.523230245396,0.34671052631578947,1,0
298.4,308.5,1827,24.3,153,0,10.100000000000023,4649.148720267927,0.1577922077922078,0,0
298.4,308.6,1304,45.0,158,0,10.200000000000045,6144.955230421636,0.2830188679245283,1,0
298.4,308.6,1569,34.4,160,0,10.200000000000045,5652.102174926468,0.21366459627329193,1,0
298.3,308.6,1584,29.3,162,0,10.300000000000011,4860.169498809553,0.17975460122699388,1,0
298.3,308.5,1362,53.8,164,0,10.199999999999989,7673.40288824614,0.32606060606060605,1,0
298.3,308.4,1329,49.2,166,0,10.099999999999966,6847.28968405817,0.2946107784431138,1,0
298.3,308.5,1539,36.1,168,0,10.199999999999989,5818.009682962546,0.21360946745562132,1,0
298.3,308.5,1629,37.1,170,0,10.199999999999989,6328.832648436246,0.21695906432748538,0,1
298.3,308.5,1538,32.2,173,0,10.199999999999989,5186.099264643983,0.18505747126436783,1,0
298.3,308.6,1570,34.8,175,0,10.300000000000011,5721.468540717731,0.19772727272727272,1,0
298.3,308.4,1408,43.1,177,0,10.099999999999966,6354.897395485528,0.24213483146067416,1,0
298.2,308.4,1424,47.6,179,0,10.199999999999989,7098.156329422827,0.2644444444444444,1,0
298.2,308.4,1512,34.9,181,0,10.199999999999989,5525.935813958303,0.19175824175824174,1,0
298.2,308.4,1478,42.9,183,0,10.199999999999989,6639.881737068171,0.23315217391304346,1,0
298.1,308.3,1680,33.7,185,0,10.199999999999989,5928.8136558546585,0.18118279569892476,0,1
298.1,308.3,1495,38.7,188,0,10.199999999999989,6058.718512080595,0.20476190476190478,1,0
298.0,308.1,1552,36.6,190,0,10.100000000000023,5948.417194013057,0.19162303664921468,0,1
297.9,308.1,1393,50.3,193,0,10.200000000000045,7337.493329748809,0.2592783505154639,1,0
298.0,308.2,1611,30.6,195,0,10.199999999999989,5162.32788023182,0.15612244897959185,1,0
298.0,308.1,1339,51.6,197,0,10.100000000000023,7235.339208629582,0.2606060606060606,0,1
298.0,308.1,1777,24.3,200,0,10.100000000000023,4521.91421779754,0.1208955223880597,1,0
298.0,308.2,1348,58.8,202,1,10.199999999999989,8300.33911819652,0.28965517241379307,1,0
298.0,308.2,1442,44.1,204,0,10.199999999999989,6659.359611520428,0.2151219512195122,1,0
298.0,308.2,1395,49.1,206,0,10.199999999999989,7172.727267043536,0.23719806763285026,0,1
297.9,308.1,1627,31.4,209,0,10.200000000000045,5349.901905602154,0.1495238095238095,0,1
297.9,308.1,1585,33.5,212,0,10.200000000000045,5560.3571974661345,0.1572769953051643,1,0
298.0,308.2,1469,45.5,214,0,10.199999999999989,6999.4160723205,0.2116279069767442,1,0
298.0,308.3,1362,56.8,216,1,10.300000000000011,8101.2878076650695,0.26175115207373273,1,0
298.0,308.3,1405,56.2,218,1,10.300000000000011,8268.776584003457,0.25662100456621006,1,0
298.0,308.3,1662,32.7,0,0,10.300000000000011,5691.246419390198,32.7,1,0
298.0,308.2,1466,42.6,2,0,10.199999999999989,6539.916258830944,14.200000000000001,0,1
298.0,308.2,1620,35.8,5,0,10.199999999999989,6073.326917919787,5.966666666666666,1,0
298.0,308.2,1357,48.2,7,0,10.199999999999989,6849.446911013634,6.025,1,0
298.0,308.2,1514,37.9,9,0,10.199999999999989,6008.8823806191485,3.79,1,0
298.0,308.2,1489,40.4,11,0,10.199999999999989,6299.479701076205,3.3666666666666667,1,0
298.1,308.3,1331,63.0,13,0,10.199999999999989,8781.065626048829,4.5,1,0
298.0,308.0,1615,29.5,15,0,10.0,4989.110933288391,1.84375,1,0
298.1,308.2,1482,37.9,17,0,10.099999999999966,5881.878261610027,2.1055555555555556,1,0
298.1,308.2,1420,63.9,19,1,10.099999999999966,9502.061140047686,3.195,0,1
298.2,308.3,1522,49.1,22,0,10.100000000000023,7825.728244043198,2.134782608695652,0,1
298.1,308.2,1654,32.1,25,0,10.099999999999966,5559.927846470144,1.2346153846153847,1,0
298.1,308.2,1736,26.8,27,0,10.099999999999966,4872.065662991146,0.9571428571428572,0,1
298.0,308.1,1587,32.3,30,0,10.100000000000023,5367.945119409271,1.0419354838709676,0,1
298.1,308.2,1390,47.5,33,0,10.099999999999966,6914.1218317755365,1.3970588235294117,1,0
298.0,308.1,1454,37.1,35,0,10.100000000000023,5648.939638321855,1.0305555555555557,1,0
298.0,308.1,1440,43.7,37,0,10.100000000000023,6589.80475016995,1.1500000000000001,0,0
297.9,308.0,1954,21.1,42,0,10.100000000000023,4317.532671730501,0.4906976744186047,1,0
297.9,308.0,1800,24.8,44,0,10.100000000000023,4674.689868541612,0.5511111111111111,0,0
298.0,308.0,1524,37.0,49,0,10.0,5904.937551687375,0.74,1,0
298.0,308.0,1520,39.6,51,0,10.0,6303.2915001625615,0.7615384615384616,0,0
298.1,308.1,1452,40.8,56,0,10.0,6203.765844896836,0.7157894736842105,0,1
298.1,308.1,1484,40.4,59,0,10.0,6278.326310542034,0.6733333333333333,1,0
298.1,308.0,1426,46.0,61,0,9.899999999999977,6869.197056829202,0.7419354838709677,1,0
298.1,308.0,1652,28.5,63,0,9.899999999999977,4930.415510543821,0.4453125,1,0
298.0,308.0,1401,54.7,65,0,10.0,8025.16701766859,0.8287878787878789,1,0
298.0,307.9,1750,26.6,67,0,9.899999999999977,4874.704600820162,0.3911764705882353,0,1
298.0,308.0,1479,50.7,70,0,10.0,7852.442253574225,0.7140845070422536,0,0
298.0,308.0,1620,29.4,75,0,10.0,4987.5924968391555,0.3868421052631579,0,1
298.0,308.1,1819,23.4,78,0,10.100000000000023,4457.354488766269,0.2962025316455696,1,0
298.1,308.1,1456,43.7,80,0,10.0,6663.024802949617,0.5395061728395062,0,1
298.1,308.0,1626,36.5,83,0,9.899999999999977,6215.012746596688,0.43452380952380953,1,0
298.1,308.1,1390,49.8,85,0,10.0,7248.910888893088,0.5790697674418605,0,1
298.2,308.2,1469,43.0,88,0,10.0,6614.832771643549,0.48314606741573035,1,0
298.2,308.3,2051,19.2,90,0,10.100000000000023,4123.780180808106,0.210989010989011,1,0
298.2,308.3,1568,36.0,92,0,10.100000000000023,5911.2207369945545,0.3870967741935484,1,0
298.2,308.3,1589,33.2,94,0,10.100000000000023,5524.469737386628,0.3494736842105263,1,0
298.2,308.3,1805,31.6,96,0,10.100000000000023,5973.005392515154,0.32577319587628867,1,0
298.2,308.4,1385,42.2,98,0,10.199999999999989,6120.555527478756,0.4262626262626263,0,0
298.1,308.4,1436,46.7,103,0,10.299999999999955,7022.632442030528,0.44903846153846155,1,0
298.1,308.4,1438,45.6,105,0,10.299999999999955,6866.767558510426,0.43018867924528303,1,0
298.0,308.3,1473,42.6,107,0,10.300000000000011,6571.143689807627,0.39444444444444443,1,0
298.1,308.4,1335,40.2,109,0,10.299999999999955,5619.9950980067815,0.3654545454545455,1,0
298.1,308.5,1392,44.8,111,0,10.399999999999977,6530.491480870174,0.39999999999999997,0,0
298.1,308.5,1372,51.1,116,0,10.399999999999977,7341.818255635252,0.43675213675213675,0,1
298.1,308.6,1716,30.7,119,0,10.5,5516.762363409821,0.2558333333333333,0,1
